
sample ID, execution time, extra probe , dut probe
59 ,29765 ,0.63841,3.19203
60 ,30269 ,0.43273,2.16363
61 ,30773 ,0.44788,2.23939
62 ,31277 ,0.36230,1.81148
63 ,31781 ,0.36837,1.84184
64 ,32286 ,0.36878,1.84389
65 ,32791 ,0.37153,1.85763
66 ,33295 ,0.36643,1.83214
67 ,33800 ,0.25706,1.28528
68 ,34304 ,0.26332,1.31659
69 ,34808 ,0.31171,1.55855
70 ,35312 ,0.38258,1.91290
71 ,35817 ,0.37951,1.89756
72 ,36321 ,0.33337,1.66686
73 ,36825 ,0.30132,1.50659
74 ,37332 ,0.33995,1.69973
75 ,37836 ,0.27490,1.37450
76 ,38341 ,0.22494,1.12470
77 ,38845 ,0.20441,1.02203
78 ,39349 ,0.20954,1.04770
79 ,39854 ,0.25687,1.28434
80 ,40358 ,0.20516,1.02578
81 ,40862 ,0.26897,1.34486
82 ,41367 ,0.20265,1.01326
83 ,41871 ,0.19527,0.97633
84 ,42376 ,0.19952,0.99761
85 ,42880 ,0.19965,0.99824
86 ,43384 ,0.19827,0.99135
87 ,43889 ,0.20414,1.02071
88 ,44394 ,0.20676,1.03382
89 ,44899 ,0.23133,1.15663
90 ,45403 ,0.19307,0.96537
91 ,45908 ,0.20190,1.00951
92 ,46414 ,0.19777,0.98885
93 ,46918 ,0.19395,0.96975
94 ,47422 ,0.24166,1.20828
95 ,47927 ,0.22863,1.14317
96 ,48431 ,0.19833,0.99167
97 ,48935 ,0.20159,1.00794
98 ,49441 ,0.19833,0.99166
99 ,49945 ,0.19889,0.99447
100 ,50450 ,0.21198,1.05990
101 ,50954 ,0.19326,0.96631
102 ,51459 ,0.19170,0.95848
103 ,51963 ,0.19176,0.95880
104 ,52468 ,0.21007,1.05037
105 ,52973 ,0.20358,1.01789
106 ,53478 ,0.21449,1.07243
107 ,53982 ,0.20002,1.00012
108 ,54486 ,0.25111,1.25555
109 ,54990 ,0.37895,1.89474
110 ,55497 ,0.38745,1.93726
111 ,56003 ,0.56221,2.81104
112 ,56507 ,0.41413,2.07066
113 ,57011 ,0.32542,1.62711

sample ID, execution time, extra probe , dut probe
1 ,505 ,0.27916,1.39578
2 ,1009 ,0.31101,1.55503
3 ,1513 ,0.28623,1.43115
4 ,2017 ,0.32793,1.63963
5 ,2521 ,0.42715,2.13577
6 ,3025 ,0.33857,1.69284
7 ,3530 ,0.32275,1.61374
8 ,4034 ,0.25023,1.25116
9 ,4538 ,0.40023,2.00117
10 ,5042 ,0.49408,2.47040
11 ,5546 ,0.39817,1.99084
12 ,6050 ,0.54703,2.73516
13 ,6556 ,0.48732,2.43661
14 ,7063 ,0.53729,2.68644
15 ,7567 ,0.48388,2.41938
16 ,8071 ,0.36179,1.80897
17 ,8575 ,0.37112,1.85562
18 ,9081 ,0.37721,1.88605
19 ,9585 ,0.48233,2.41163
20 ,10090 ,0.70561,3.52805
21 ,10594 ,0.45746,2.28728
22 ,11098 ,0.33907,1.69535
23 ,11602 ,0.42803,2.14016
24 ,12107 ,0.40856,2.04282
25 ,12612 ,0.24761,1.23806
26 ,13116 ,0.24184,1.20922
27 ,13620 ,0.42021,2.10103
28 ,14124 ,0.75270,3.76351
29 ,14628 ,0.62931,3.14654
30 ,15132 ,0.67813,3.39064
31 ,15636 ,0.65923,3.29616
32 ,16141 ,0.77719,3.88593
33 ,16647 ,0.78707,3.93536
34 ,17151 ,0.69060,3.45299
35 ,17655 ,0.74590,3.72948
36 ,18160 ,0.67188,3.35941
37 ,18664 ,0.65817,3.29084
38 ,19168 ,0.68258,3.41292
39 ,19672 ,0.66205,3.31025
40 ,20177 ,0.67551,3.37753
41 ,20681 ,0.67719,3.38596
42 ,21186 ,0.71648,3.58239
43 ,21691 ,0.74995,3.74977
44 ,22195 ,0.58855,2.94276
45 ,22699 ,0.51674,2.58371
46 ,23204 ,0.62148,3.10740
47 ,23708 ,0.49844,2.49219
48 ,24213 ,0.43773,2.18867
49 ,24718 ,0.38302,1.91509
50 ,25222 ,0.45808,2.29041
51 ,25729 ,0.45401,2.27006
52 ,26234 ,0.51686,2.58432
53 ,26738 ,0.50518,2.52592
54 ,27242 ,0.47380,2.36898
55 ,27746 ,0.59475,2.97375
56 ,28250 ,0.50090,2.50452
57 ,28754 ,0.42991,2.14955
58 ,29259 ,0.62741,3.13707
59 ,29764 ,0.43061,2.15305
60 ,30268 ,0.42052,2.10259
61 ,30772 ,0.39773,1.98865
62 ,31276 ,0.42415,2.12075
63 ,31781 ,0.32555,1.62773
64 ,32285 ,0.39707,1.98535
65 ,32789 ,0.35879,1.79395
66 ,33293 ,0.35547,1.77736
67 ,33797 ,0.39122,1.95610
68 ,34301 ,0.47761,2.38807
69 ,34809 ,0.46852,2.34261
70 ,35313 ,0.38795,1.93976
71 ,35818 ,0.30514,1.52569
72 ,36322 ,0.31760,1.58798
73 ,36826 ,0.33218,1.66091
74 ,37330 ,0.35691,1.78456
75 ,37834 ,0.27553,1.37765
76 ,38340 ,0.34810,1.74052
77 ,38844 ,0.32304,1.61521
78 ,39348 ,0.26689,1.33443
79 ,39852 ,0.34157,1.70787
80 ,40357 ,0.35917,1.79583
81 ,40861 ,0.37927,1.89635
82 ,41365 ,0.31997,1.59987
83 ,41869 ,0.30927,1.54635
84 ,42373 ,0.30382,1.51911
85 ,42877 ,0.31165,1.55824
86 ,43382 ,0.31238,1.56190
87 ,43887 ,0.27515,1.37577
88 ,44394 ,0.22632,1.13159
89 ,44899 ,0.24591,1.22956
90 ,45403 ,0.22087,1.10435
91 ,45907 ,0.20353,1.01765
92 ,46411 ,0.19527,0.97633
93 ,46916 ,0.20339,1.01696
94 ,47421 ,0.22939,1.14693
95 ,47925 ,0.19915,0.99573
96 ,48430 ,0.21511,1.07556
97 ,48934 ,0.19752,0.98760
98 ,49438 ,0.19952,0.99760
99 ,49943 ,0.19771,0.98853
100 ,50447 ,0.19833,0.99167
101 ,50952 ,0.19959,0.99793
102 ,51456 ,0.21054,1.05270
103 ,51962 ,0.19877,0.99385
104 ,52466 ,0.28421,1.42106
105 ,52971 ,0.38095,1.90476
106 ,53477 ,0.39917,1.99585
107 ,53981 ,0.60464,3.02320
108 ,54485 ,0.38327,1.91634
109 ,54991 ,0.35853,1.79267

sample ID, execution time, extra probe , dut probe
1 ,505 ,0.24911,1.24555
2 ,1011 ,0.30470,1.52348
3 ,1514 ,0.42221,2.11105
4 ,2018 ,0.33425,1.67124
5 ,2522 ,0.37294,1.86469
6 ,3027 ,0.25386,1.26932
7 ,3530 ,0.26801,1.34006
8 ,4034 ,0.23189,1.15945
9 ,4538 ,0.33963,1.69816
10 ,5042 ,0.56313,2.81567
11 ,5546 ,0.56320,2.81598
12 ,6050 ,0.48589,2.42943
13 ,6555 ,0.44672,2.23362
14 ,7062 ,0.43993,2.19963
15 ,7567 ,0.44004,2.20021
16 ,8071 ,0.36662,1.83308
17 ,8575 ,0.35973,1.79864
18 ,9079 ,0.44554,2.22769
19 ,9583 ,0.57503,2.87514
20 ,10087 ,0.67426,3.37129
21 ,10591 ,0.54135,2.70673
22 ,11095 ,0.27327,1.36636
23 ,11600 ,0.35223,1.76113
24 ,12105 ,0.41450,2.07248
25 ,12609 ,0.25706,1.28528
26 ,13113 ,0.32555,1.62773
27 ,13617 ,0.48769,2.43847
28 ,14121 ,0.74331,3.71656
29 ,14625 ,0.66483,3.32413
30 ,15129 ,0.67169,3.35846
31 ,15633 ,0.69392,3.46958
32 ,16140 ,0.78474,3.92372
33 ,16644 ,0.68359,3.41793
34 ,17149 ,0.80073,4.00366
35 ,17653 ,0.67651,3.38253
36 ,18157 ,0.68340,3.41699
37 ,18661 ,0.62649,3.13245
38 ,19166 ,0.76013,3.80067
39 ,19671 ,0.77918,3.89592
40 ,20176 ,0.73114,3.65572
41 ,20681 ,0.76388,3.81941
42 ,21186 ,0.67163,3.35817
43 ,21690 ,0.64389,3.21947
44 ,22194 ,0.52075,2.60375
45 ,22698 ,0.46829,2.34143
46 ,23202 ,0.48251,2.41256
47 ,23708 ,0.48688,2.43442
48 ,24212 ,0.45038,2.25191
49 ,24716 ,0.36317,1.81586
50 ,25220 ,0.40424,2.02121
51 ,25727 ,0.44099,2.20495
52 ,26231 ,0.46777,2.33886
53 ,26735 ,0.39447,1.97237
54 ,27240 ,0.34683,1.73416
55 ,27744 ,0.45389,2.26944
56 ,28248 ,0.42183,2.10917
57 ,28752 ,0.43361,2.16804
58 ,29258 ,0.52954,2.64771
59 ,29763 ,0.35023,1.75114
60 ,30267 ,0.36492,1.82462
61 ,30771 ,0.34545,1.72727
62 ,31275 ,0.37250,1.86250
63 ,31780 ,0.38870,1.94351
64 ,32285 ,0.36378,1.81891
65 ,32789 ,0.39961,1.99804
66 ,33293 ,0.35140,1.75701
67 ,33797 ,0.33857,1.69284
68 ,34302 ,0.42421,2.12106
69 ,34808 ,0.44766,2.23831
70 ,35314 ,0.44279,2.21395
71 ,35818 ,0.38389,1.91947
72 ,36322 ,0.36643,1.83214
73 ,36826 ,0.35566,1.77830
74 ,37330 ,0.46140,2.30700
75 ,37835 ,0.33162,1.65808
76 ,38339 ,0.30445,1.52224
77 ,38843 ,0.34114,1.70568
78 ,39347 ,0.40994,2.04969
79 ,39852 ,0.38997,1.94984
80 ,40356 ,0.37677,1.88386
81 ,40861 ,0.32643,1.63216
82 ,41365 ,0.28310,1.41550
83 ,41869 ,0.32342,1.61709
84 ,42374 ,0.29900,1.49501
85 ,42878 ,0.25612,1.28059
86 ,43382 ,0.22213,1.11064
87 ,43891 ,0.19827,0.99135
88 ,44395 ,0.19721,0.98603
89 ,44899 ,0.20941,1.04707
90 ,45404 ,0.19113,0.95567
91 ,45908 ,0.18813,0.94064
92 ,46413 ,0.19277,0.96387
93 ,46918 ,0.21407,1.07036
94 ,47423 ,0.21179,1.05897
95 ,47927 ,0.20221,1.01107
96 ,48431 ,0.19289,0.96443
97 ,48936 ,0.18863,0.94315
98 ,49440 ,0.19271,0.96356
99 ,49945 ,0.20328,1.01639
100 ,50449 ,0.22150,1.10748
101 ,50954 ,0.19195,0.95974
102 ,51458 ,0.21129,1.05646
103 ,51963 ,0.19446,0.97230
104 ,52468 ,0.18703,0.93514
105 ,52975 ,0.18256,0.91278
106 ,53479 ,0.36568,1.82838
107 ,53983 ,0.39479,1.97394
108 ,54489 ,0.53897,2.69487
109 ,54994 ,0.50025,2.50125
110 ,55499 ,0.31132,1.55659

sample ID, execution time, extra probe , dut probe
1 ,505 ,0.30532,1.52662
2 ,1009 ,0.28548,1.42740
3 ,1513 ,0.32179,1.60895
4 ,2017 ,0.33287,1.66436
5 ,2521 ,0.33892,1.69462
6 ,3026 ,0.38483,1.92415
7 ,3530 ,0.37194,1.85968
8 ,4034 ,0.34821,1.74105
9 ,4538 ,0.49946,2.49732
10 ,5042 ,0.62860,3.14300
11 ,5547 ,0.55584,2.77919
12 ,6054 ,0.44143,2.20714
13 ,6558 ,0.42766,2.13828
14 ,7062 ,0.53534,2.67668
15 ,7566 ,0.46309,2.31545
16 ,8070 ,0.45909,2.29545
17 ,8575 ,0.48870,2.44348
18 ,9079 ,0.51612,2.58058
19 ,9583 ,0.53446,2.67230
20 ,10087 ,0.68427,3.42137
21 ,10592 ,0.74508,3.72541
22 ,11096 ,0.42287,2.11433
23 ,11600 ,0.49377,2.46883
24 ,12104 ,0.39798,1.98990
25 ,12609 ,0.25236,1.26181
26 ,13113 ,0.20816,1.04081
27 ,13617 ,0.44135,2.20677
28 ,14122 ,0.68662,3.43312
29 ,14626 ,0.53596,2.67981
30 ,15131 ,0.61610,3.08049
31 ,15637 ,0.55762,2.78812
32 ,16141 ,0.64634,3.23168
33 ,16645 ,0.73172,3.65859
34 ,17150 ,0.55140,2.75702
35 ,17654 ,0.61265,3.06327
36 ,18158 ,0.56163,2.80816
37 ,18662 ,0.60308,3.01538
38 ,19166 ,0.56207,2.81034
39 ,19670 ,0.52779,2.63897
40 ,20174 ,0.60696,3.03478
41 ,20678 ,0.50591,2.52956
42 ,21182 ,0.60376,3.01882
43 ,21686 ,0.59594,2.97969
44 ,22191 ,0.54297,2.71486
45 ,22696 ,0.52111,2.60556
46 ,23200 ,0.44262,2.21309
47 ,23704 ,0.31622,1.58109
48 ,24209 ,0.30270,1.51348
49 ,24715 ,0.29487,1.47435
50 ,25220 ,0.30089,1.50443
51 ,25725 ,0.30613,1.53067
52 ,26229 ,0.30952,1.54760
53 ,26733 ,0.32317,1.61584
54 ,27238 ,0.32511,1.62554
55 ,27742 ,0.31296,1.56481
56 ,28246 ,0.26485,1.32425
57 ,28750 ,0.49934,2.49670
58 ,29256 ,0.40806,2.04032
59 ,29760 ,0.28404,1.42020
60 ,30264 ,0.25975,1.29874
61 ,30769 ,0.25504,1.27522
62 ,31274 ,0.24130,1.20651
63 ,31779 ,0.24097,1.20484
64 ,32283 ,0.25199,1.25993
65 ,32787 ,0.27352,1.36761
66 ,33291 ,0.27290,1.36448
67 ,33798 ,0.27572,1.37858
68 ,34303 ,0.25061,1.25304
69 ,34807 ,0.26250,1.31252
70 ,35311 ,0.27697,1.38483
71 ,35816 ,0.26156,1.30782
72 ,36320 ,0.28135,1.40674
73 ,36824 ,0.28527,1.42636
74 ,37329 ,0.25699,1.28497
75 ,37833 ,0.25092,1.25461
76 ,38337 ,0.19307,0.96537
77 ,38842 ,0.18900,0.94502
78 ,39346 ,0.20021,1.00103
79 ,39852 ,0.24580,1.22900
80 ,40356 ,0.19057,0.95285
81 ,40860 ,0.23577,1.17885
82 ,41365 ,0.18800,0.94002
83 ,41869 ,0.18825,0.94127
84 ,42374 ,0.19558,0.97792
85 ,42879 ,0.19040,0.95200
86 ,43386 ,0.21110,1.05552
87 ,43891 ,0.18794,0.93970
88 ,44395 ,0.18663,0.93313
89 ,44899 ,0.19239,0.96193
90 ,45403 ,0.18475,0.92374
91 ,45908 ,0.18928,0.94638
92 ,46413 ,0.19113,0.95567
93 ,46917 ,0.22250,1.11249
94 ,47421 ,0.26238,1.31189
95 ,47926 ,0.18957,0.94784
96 ,48430 ,0.18353,0.91765
97 ,48935 ,0.18575,0.92875
98 ,49439 ,0.20221,1.01107
99 ,49943 ,0.18005,0.90026
100 ,50448 ,0.20353,1.01765
101 ,50953 ,0.19140,0.95700
102 ,51457 ,0.19289,0.96443
103 ,51961 ,0.17911,0.89557
104 ,52468 ,0.22375,1.11875
105 ,52973 ,0.18894,0.94471
106 ,53477 ,0.18800,0.94002
107 ,53983 ,0.23774,1.18871
108 ,54487 ,0.18953,0.94763
109 ,54992 ,0.28122,1.40611
110 ,55496 ,0.36918,1.84591
111 ,56000 ,0.41376,2.06879
112 ,56504 ,0.57346,2.86732
113 ,57009 ,0.38795,1.93976
114 ,57514 ,0.37552,1.87762
115 ,58018 ,0.38189,1.90946
116 ,58523 ,0.28811,1.44054

sample ID, execution time, extra probe , dut probe
1 ,505 ,0.21279,1.06397
2 ,1009 ,0.21123,1.05615
3 ,1514 ,0.21098,1.05490
4 ,2018 ,0.24785,1.23927
5 ,2522 ,0.35185,1.75926
6 ,3027 ,0.21126,1.05631
7 ,3531 ,0.20966,1.04832
8 ,4036 ,0.20578,1.02892
9 ,4540 ,0.33826,1.69128
10 ,5044 ,0.48256,2.41280
11 ,5548 ,0.38670,1.93352
12 ,6052 ,0.35378,1.76891
13 ,6556 ,0.32955,1.64777
14 ,7060 ,0.40086,2.00430
15 ,7564 ,0.38928,1.94639
16 ,8069 ,0.33455,1.67276
17 ,8574 ,0.32275,1.61373
18 ,9082 ,0.33218,1.66089
19 ,9586 ,0.45345,2.26724
20 ,10090 ,0.61535,3.07673
21 ,10594 ,0.47129,2.35646
22 ,11098 ,0.24936,1.24680
23 ,11604 ,0.34248,1.71242
24 ,12108 ,0.34351,1.71757
25 ,12612 ,0.22876,1.14380
26 ,13117 ,0.23208,1.16039
27 ,13621 ,0.37294,1.86469
28 ,14125 ,0.65021,3.25105
29 ,14629 ,0.57547,2.87733
30 ,15133 ,0.57603,2.88015
31 ,15637 ,0.56633,2.83163
32 ,16141 ,0.69179,3.45893
33 ,16645 ,0.64172,3.20858
34 ,17150 ,0.65696,3.28478
35 ,17654 ,0.59362,2.96811
36 ,18161 ,0.66562,3.32809
37 ,18665 ,0.59343,2.96717
38 ,19169 ,0.60965,3.04825
39 ,19673 ,0.63316,3.16580
40 ,20178 ,0.58757,2.93783
41 ,20682 ,0.67720,3.38600
42 ,21187 ,0.64746,3.23731
43 ,21691 ,0.52745,2.63724
44 ,22195 ,0.56589,2.82944
45 ,22699 ,0.30582,1.52911
46 ,23203 ,0.29681,1.48405
47 ,23708 ,0.31753,1.58767
48 ,24212 ,0.30057,1.50284
49 ,24716 ,0.30226,1.51129
50 ,25220 ,0.29339,1.46696
51 ,25726 ,0.31700,1.58501
52 ,26230 ,0.30144,1.50722
53 ,26734 ,0.31747,1.58735
54 ,27241 ,0.31378,1.56888
55 ,27745 ,0.31315,1.56575
56 ,28250 ,0.28409,1.42043
57 ,28755 ,0.26554,1.32768
58 ,29259 ,0.46322,2.31608
59 ,29764 ,0.27571,1.37856
60 ,30268 ,0.27208,1.36041
61 ,30772 ,0.28097,1.40486
62 ,31277 ,0.25242,1.26210
63 ,31781 ,0.25543,1.27714
64 ,32285 ,0.27590,1.37950
65 ,32790 ,0.25724,1.28622
66 ,33294 ,0.27640,1.38201
67 ,33798 ,0.33224,1.66120
68 ,34304 ,0.30420,1.52099
69 ,34808 ,0.35341,1.76703
70 ,35312 ,0.30119,1.50597
71 ,35816 ,0.23108,1.15538
72 ,36321 ,0.18694,0.93469
73 ,36827 ,0.18957,0.94784
74 ,37332 ,0.24605,1.23025
75 ,37837 ,0.21317,1.06585
76 ,38341 ,0.19176,0.95880
77 ,38845 ,0.23308,1.16539
78 ,39350 ,0.18813,0.94064
79 ,39854 ,0.19365,0.96824
80 ,40360 ,0.18884,0.94420
81 ,40864 ,0.18268,0.91341
82 ,41368 ,0.19001,0.95003
83 ,41873 ,0.18469,0.92343
84 ,42377 ,0.18137,0.90684
85 ,42882 ,0.20227,1.01134
86 ,43386 ,0.19708,0.98540
87 ,43890 ,0.21405,1.07023
88 ,44395 ,0.18769,0.93845
89 ,44899 ,0.18951,0.94753
90 ,45404 ,0.22257,1.11283
91 ,45912 ,0.22906,1.14531
92 ,46416 ,0.22500,1.12501
93 ,46920 ,0.18287,0.91435
94 ,47425 ,0.18669,0.93344
95 ,47929 ,0.18256,0.91278
96 ,48435 ,0.19415,0.97074
97 ,48939 ,0.19053,0.95263
98 ,49444 ,0.19019,0.95097
99 ,49948 ,0.18287,0.91435
100 ,50453 ,0.19364,0.96819
101 ,50957 ,0.17999,0.89995
102 ,51462 ,0.22837,1.14187
103 ,51967 ,0.20976,1.04881
104 ,52471 ,0.37250,1.86250
